"address","source_path","ghidra_name","original_name_status","signature","objective_verdict","code_sha256"
"1001b27c","src/functions/1001b27c.cpp","___initconout","recognized-or-tool-label","void __cdecl ___initconout(void)","PASS","33c69f78f6582d13930643e05f106929cf95dcd354d062313760b2d1bf5b89d5"
"1001b29b","src/functions/1001b29b.cpp","FUN_1001b29b","auto-generated-address-label","undefined __stdcall FUN_1001b29b(void)","PASS","9bb25bc6f0670984b2f5076b6a1dd8d682cd9c4574f545626d25e558b240c152"
"1001b2b2","src/functions/1001b2b2.cpp","RtlUnwind","recognized-or-tool-label","void __stdcall RtlUnwind(PVOID TargetFrame, PVOID TargetIp, PEXCEPTION_RECORD ExceptionRecord, PVOID ReturnValue)","PASS","57d95e888afe651e7f9a43a7daa5cb0bc23147e5f458ffa90541da0fd248f7b1"
"1001b2b8","src/functions/1001b2b8.cpp","__cfltcvt_init","recognized-or-tool-label","undefined __stdcall __cfltcvt_init(void)","PASS","c4425731f5c59f9f008e6a619c747c026c5c6ab87cf269b0fd1b77b490184041"
"1001b318","src/functions/1001b318.cpp","__fpmath","recognized-or-tool-label","void __cdecl __fpmath(int param_1)","PASS","965db3ba27e68d8e636ad2996a8c45a8b3217f4a2e61dac7b6c813c5f69a6cfb"
"1001b380","src/functions/1001b380.cpp","FUN_1001b380","auto-generated-address-label","undefined __fastcall FUN_1001b380(void * param_1)","PASS","3722964f84deec5c371f2c870e7b8e78765173a53120c8374a8d674012f03635"
"1001b3cf","src/functions/1001b3cf.cpp","FUN_1001b3cf","auto-generated-address-label","uint __thiscall FUN_1001b3cf(void * this, int param_1)","PASS","d12b2bee31e6deac361e41835f891f24e24de2328ac84119f056952bcb2ade8e"
"1001b3d8","src/functions/1001b3d8.cpp","FUN_1001b3d8","auto-generated-address-label","uint __cdecl FUN_1001b3d8(int param_1, undefined4 param_2)","PASS","bcb034513ae3678aa9dd4a6dcc82809a1ffac47233818b2c97439ed9e50d2ddd"
"1001b4b0","src/functions/1001b4b0.cpp","FUN_1001b4b0","auto-generated-address-label","undefined __fastcall FUN_1001b4b0(void * param_1)","PASS","9a3873bbc1b3131068dad5bc89a3b2921485c789635b2a56903ed37b173bbf8b"
"1001b4ff","src/functions/1001b4ff.cpp","FUN_1001b4ff","auto-generated-address-label","uint __thiscall FUN_1001b4ff(void * this, int param_1)","PASS","5b9f48c4c4b42bc20a816ca48e1f708dfc09296c5cc9561f9399ec35e7b2fda5"
"1001b508","src/functions/1001b508.cpp","FUN_1001b508","auto-generated-address-label","uint __cdecl FUN_1001b508(int param_1, undefined4 param_2)","PASS","a41bacd17de2368bc081fd17d4a73c67326ddddb8db77c6123c7b4b9ea890cd3"
"1001b5a0","src/functions/1001b5a0.cpp","FUN_1001b5a0","auto-generated-address-label","undefined __stdcall FUN_1001b5a0(void)","PASS","06ced4f54c000116013e390edadf899bca9de67f963ded828bd990b164a29396"
"1001b5bd","src/functions/1001b5bd.cpp","FUN_1001b5bd","auto-generated-address-label","uint __cdecl FUN_1001b5bd(uint param_1, uint param_2)","PASS","b54ae19af65adf49744f9a0bd48103464489c418db94d4127e7976a7dd3360a0"
"1001b65a","src/functions/1001b65a.cpp","_JumpToContinuation","recognized-or-tool-label","void __stdcall _JumpToContinuation(void * param_1, EHRegistrationNode * param_2)","PASS","9c08505b4c2f93684ca75902f89efdebb67705f4deef05f0b2b4cd7560f860e5"
"1001b68c","src/functions/1001b68c.cpp","FID_conflict:_CallMemberFunction1","recognized-or-tool-label","undefined __stdcall FID_conflict:_CallMemberFunction1(undefined4 param_1, undefined * UNRECOVERED_JUMPTABLE)","PASS","1369947e7242f1f66247ca554c09d83e583a28cd91333f0426bc36e0a0d789ba"
"1001b693","src/functions/1001b693.cpp","_UnwindNestedFrames","recognized-or-tool-label","void __stdcall _UnwindNestedFrames(EHRegistrationNode * param_1, EHExceptionRecord * param_2)","PASS","ae856862a94518e44cd80a86d9202a2ae3f6b623d478a2c760291b6d7f8fcc61"
"1001b6e7","src/functions/1001b6e7.cpp","FID_conflict:___CxxFrameHandler3","recognized-or-tool-label","undefined4 __cdecl FID_conflict:___CxxFrameHandler3(EHExceptionRecord * param_1, EHRegistrationNode * param_2, _CONTEXT * param_3, void * param_4)","PASS","2bd546a2d40551fab09a891dbbf04b191839bc0b9c2ec4a3eadeab8f7a0b44ea"
"1001b71d","src/functions/1001b71d.cpp","CatchGuardHandler","recognized-or-tool-label","_EXCEPTION_DISPOSITION __cdecl CatchGuardHandler(EHExceptionRecord * param_1, CatchGuardRN * param_2, void * param_3, void * param_4)","PASS","53cb6a6f549482b0d08b2ed3f3a50aa00e24f558991339d89a0aff8410a085df"
"1001b750","src/functions/1001b750.cpp","_CallSETranslator","recognized-or-tool-label","int __cdecl _CallSETranslator(EHExceptionRecord * param_1, EHRegistrationNode * param_2, void * param_3, void * param_4, _s_FuncInfo * param_5, int param_6, EHRegistrationNode * param_7)","PASS","afb7db36d34165d811d82855cbaf781dfaa40b88dc2b3fb27ef4a8315f43c709"
"1001b827","src/functions/1001b827.cpp","TranslatorGuardHandler","recognized-or-tool-label","_EXCEPTION_DISPOSITION __cdecl TranslatorGuardHandler(EHExceptionRecord * param_1, TranslatorGuardRN * param_2, void * param_3, void * param_4)","PASS","5c87a4a82b611a577e436ce66c2230591c884607a285beaa3195b5bc813d0e70"
"1001b8c6","src/functions/1001b8c6.cpp","_GetRangeOfTrysToCheck","recognized-or-tool-label","_s_TryBlockMapEntry * __cdecl _GetRangeOfTrysToCheck(_s_FuncInfo * param_1, int param_2, int param_3, uint * param_4, uint * param_5)","PASS","e8439ebca30cd415c35a69ab98cde72686d19cc9b8ad4bfb6f8c566aea44137b"
"1001b939","src/functions/1001b939.cpp","__CreateFrameInfo","recognized-or-tool-label","undefined4 * __cdecl __CreateFrameInfo(undefined4 * param_1, undefined4 param_2)","PASS","4f4c6605532ed5dbaf37a05f1d5553caf636eb0c3c7ebbac396b816775bda998"
"1001b965","src/functions/1001b965.cpp","__IsExceptionObjectToBeDestroyed","recognized-or-tool-label","undefined4 __cdecl __IsExceptionObjectToBeDestroyed(int param_1)","PASS","10bfc0cda7db9d797ec6c758c870379379a4fb62d1aa6701be0dc868d0f904a2"
"1001b98c","src/functions/1001b98c.cpp","__FindAndUnlinkFrame","recognized-or-tool-label","undefined __cdecl __FindAndUnlinkFrame(void * param_1)","PASS","9e4967eb3edae3d328cb0d5a1015aeff99100c412196e525eff76de59de5cbf1"
